rider_country,lat,lng
Colombia,4.570868,-74.297333
Slovakia,48.669026,19.699024
Germany,51.165691,10.451526
Norway,60.47202399999999,8.468945999999999
France,46.227638,2.213749
Netherlands,52.132633,5.291265999999999
Australia,-25.274398,133.775136
Denmark,56.26392,9.501785
Poland,51.919438,19.145136
Italy,41.87194,12.56738
Belgium,50.503887,4.469936
Great Britain,53.7190281,-2.0727839
Luxembourg,49.815273,6.129582999999999
Argentina,-38.416097,-63.61667199999999
Kazakhstan,48.019573,66.923684
Slovenia,46.151241,14.995463
Spain,40.46366700000001,-3.74922
South Africa,-30.559482,22.937506
Russia,61.52401,105.318756
New Zealand,-40.900557,174.885971
Ireland,53.1423672,-7.692053599999999
United States,37.09024,-95.712891
Latvia,56.879635,24.603189
Austria,47.516231,14.550072
Estonia,58.595272,25.0136071
Croatia,45.1,15.2000001
Switzerland,46.818188,8.227511999999999
Costa Rica,9.748916999999999,-83.753428
Ethiopia,9.145000000000001,40.489673
Sweden,60.12816100000001,18.643501
